RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATROD,CONDTN,NATCON,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2516,2,2,116,1,550,175405004,1080,02260A7477CC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2517,2,2,116,1,550,175405016,1080,02260A7477D80438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2518,2,2,116,1,550,175405029,1080,02260A7477E50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2519,2,2,116,1,550,175405055,1080,02260A7477FF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2520,2,2,116,1,550,175405068,1080,02260A74780C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2521,2,2,116,1,550,175405081,1080,02260A7478190438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2522,2,2,116,1,550,175405108,1080,02260A7478340438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2523,2,2,116,1,550,175405121,1080,02260A7478410438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2524,2,2,116,1,550,175405135,1080,02260A74784F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2525,2,2,116,1,550,175405147,1080,02260A74785B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2526,2,2,116,1,550,175405175,1080,02260A7478770438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2527,2,2,116,1,550,175405201,1080,02260A7478910438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2528,2,2,116,1,550,175405215,1080,02260A74789F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2529,2,2,116,1,550,175405242,1080,02260A7478BA0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2530,2,2,116,1,550,175405256,1080,02260A7478C80438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2531,2,2,116,1,550,175405296,1080,02260A7478F00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2532,2,2,116,1,550,175405350,1080,02260A7479260438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2533,2,2,116,1,550,175405362,1080,02260A7479320438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2534,2,2,116,1,550,175405375,1080,02260A74793F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2535,2,2,116,1,550,175405389,1080,02260A74794D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2536,2,2,116,1,550,175405401,1080,02260A7479590438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2537,2,2,116,1,550,175405415,1080,02260A7479670438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2538,2,2,116,1,550,175405429,1080,02260A7479750438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2539,2,2,116,1,550,175405443,1080,02260A7479830438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2540,2,2,116,1,550,175405457,1080,02260A7479910438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2541,2,2,116,1,550,175405470,1080,02260A74799E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2542,2,2,116,1,550,175405484,1080,02260A7479AC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2543,2,2,116,1,550,175405497,1080,02260A7479B90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2544,2,2,116,1,550,175405511,1080,02260A7479C70438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2545,2,2,116,1,550,175405523,1080,02260A7479D30438,,,,,,,288,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2546,2,2,116,1,550,175405551,1080,02260A7479EF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2547,2,2,116,1,550,175405564,1080,02260A7479FC0438,,,,,,,288,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2548,2,2,116,1,550,175405577,1080,02260A747A090438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2549,2,2,116,1,550,175405590,1080,02260A747A160438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2550,2,2,116,1,550,175405617,1080,02260A747A310438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2551,2,2,116,1,550,175405629,1080,02260A747A3D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2552,2,2,116,1,550,175405642,1080,02260A747A4A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2553,2,2,116,1,550,175405668,1080,02260A747A640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2554,2,2,116,1,550,175405682,1080,02260A747A720438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2555,2,2,116,1,550,175405696,1080,02260A747A800438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2556,2,2,116,1,550,175405708,1080,02260A747A8C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2557,2,2,116,1,550,175405722,1080,02260A747A9A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2558,2,2,116,1,550,175405735,1080,02260A747AA70438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
