RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSLC,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,HEIGHT,HORACC,HORCLR,HORLEN,HORWID,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3255,2,2,122,1,550,175447961,1080,02260A751F990438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3256,2,2,122,1,550,175448323,1080,02260A7521030438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3257,2,2,122,1,550,175448400,1080,02260A7521500438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3258,2,2,122,1,550,175416856,1080,02260A74A6180438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3259,2,2,122,1,550,175416869,1080,02260A74A6250438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3260,2,2,122,1,550,175416884,1080,02260A74A6340438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3261,2,2,122,1,550,175417938,1080,02260A74AA520438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3262,2,2,122,1,550,175417967,1080,02260A74AA6F0438,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3263,2,2,122,1,550,175418024,1080,02260A74AAA80438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3264,2,2,122,1,550,175418052,1080,02260A74AAC40438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3265,2,2,122,1,550,175418067,1080,02260A74AAD30438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3266,2,2,122,1,550,175418082,1080,02260A74AAE20438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3267,2,2,122,1,550,175418111,1080,02260A74AAFF0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3268,2,2,122,1,550,175418153,1080,02260A74AB290438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3269,2,2,122,1,550,175418195,1080,02260A74AB530438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3270,2,2,122,1,550,175418224,1080,02260A74AB700438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3271,2,2,122,1,550,175418253,1080,02260A74AB8D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3272,2,2,122,1,550,175418269,1080,02260A74AB9D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3273,2,2,122,1,550,175418285,1080,02260A74ABAD0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3274,2,2,122,1,550,175418300,1080,02260A74ABBC0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3275,2,2,122,1,550,175418316,1080,02260A74ABCC0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3276,2,2,122,1,550,175418332,1080,02260A74ABDC0438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3277,2,2,122,1,550,175418483,1080,02260A74AC730438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3278,2,2,122,1,550,175418498,1080,02260A74AC820438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3279,2,2,122,1,550,175418747,1080,02260A74AD7B0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3280,2,2,122,1,550,175418768,1080,02260A74AD900438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
