RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCOA,COLOUR,CONRAD,CONVIS,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
318,2,2,30,1,550,175422242,1080,02260A74BB220438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
319,2,2,30,1,550,175422257,1080,02260A74BB310438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
320,2,2,30,1,550,175422569,1080,02260A74BC690438,,,1,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
321,2,2,30,1,550,175422954,1080,02260A74BDEA0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
322,2,2,30,1,550,175423332,1080,02260A74BF640438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
323,2,2,30,1,550,175433838,1080,02260A74E86E0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
324,2,2,30,1,550,175433854,1080,02260A74E87E0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
325,2,2,30,1,550,175433898,1080,02260A74E8AA0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
326,2,2,30,1,550,175433914,1080,02260A74E8BA0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
327,2,2,30,1,550,175433946,1080,02260A74E8DA0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
328,2,2,30,1,550,175433962,1080,02260A74E8EA0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
329,2,2,30,1,550,175433976,1080,02260A74E8F80438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
330,2,2,30,1,550,175434039,1080,02260A74E9370438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
331,2,2,30,1,550,175434054,1080,02260A74E9460438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
332,2,2,30,1,550,175434100,1080,02260A74E9740438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
333,2,2,30,1,550,175434406,1080,02260A74EAA60438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
334,2,2,30,1,550,175434437,1080,02260A74EAC50438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
335,2,2,30,1,550,175434861,1080,02260A74EC6D0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
336,2,2,30,1,550,175434877,1080,02260A74EC7D0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
337,2,2,30,1,550,175434892,1080,02260A74EC8C0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
338,2,2,30,1,550,175444179,1080,02260A7510D30438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
339,2,2,30,1,550,175444194,1080,02260A7510E20438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
340,2,2,30,1,550,175444209,1080,02260A7510F10438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
341,2,2,30,1,550,175444223,1080,02260A7510FF0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
342,2,2,30,1,550,116254881,1246,022606EDE8A104DE,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
343,2,2,30,1,550,116273276,1246,022606EE307C04DE,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
344,2,2,30,1,550,116273262,1246,022606EE306E04DE,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
345,2,2,30,1,550,114573955,1247,022606D4428304DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
346,2,2,30,1,550,114573944,1247,022606D4427804DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
347,2,2,30,1,550,116070431,1247,022606EB181F04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
348,2,2,30,1,550,116070428,1247,022606EB181C04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
349,2,2,30,1,550,116116129,1247,022606EBCAA104DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
350,2,2,30,1,550,116123057,1247,022606EBE5B104DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
351,2,2,30,1,550,116123035,1247,022606EBE59B04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
352,2,2,30,1,550,116123030,1247,022606EBE59604DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
353,2,2,30,1,550,116122898,1247,022606EBE51204DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
354,2,2,30,1,550,116163048,1247,022606EC81E804DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
